foto,marca,prezzo
JART CALDER.jpeg,JART GRIP TAPE CALDER SHEET,€12.99
MOB BLACK.jpeg,MOB BLACK GRIP TAPE",€7.99
MOB GREEN.jpeg,MOB YELLOW GRIP TAPE,€14.99
MOB INDEPENDENT.jpeg,MOB GRIP TAPE INDEPENDENT,€14.99
MOB INDEPENDENT1.jpeg,MOB INDEPENDENT GRIP",€14.99
MOB SANTA CRUZ ROSKOPP.jpeg,MOB SANTA CRUZ ROSKOPP FACE GRIP,€14.99
MOB THRASHER.jpeg,MOB GRIP TAPE THRASHER MAG ORANGE,€1499
MOB BLACK GRIP TAPE",€7,99c
MOB YELLOW.jpeg,MOB YELLOW GRIP TAPE".€9.99
PLEASURES SKATEBOARDS.jpeg,PLEASURES SKATEBOARDS CLASSIC BIG GRIP TAPE,€7.99
POWELL PERALTA.jpeg,POWELL PERALTA ANDERSON GRIP TAPE SKATEBOARD,€13.99
Ripndip Alien.jpeg,Ripndip Grip Tape Alien In Heck,€15.99
RIPNDIP BUDDY.jpeg,RIPNDIP BUDDY SYSTEM GRIP TAPE SKATEBOARD,€13.99
RIPNDIP NERMAL.jpeg,RIPNDIP GRIP SKATEBOARD LORD NERMAL BLACK,€15.99
SHAKE JUNT YELLOW.jpeg,SHAKE JUNT SPRAY GRIP TAPE YELLOW,€14.99
SOULJAH SG.jpeg,SOULJAH GRIP TAPE SG ALLOVER,€9.99
