foto,marca,prezzo,dimensione
ACE_TRUCKS_VITI.jpeg,ACE TRUCKS VITI SKATEBOARD PHILLIPS,€4.99,7/8"
INDEPENDENT_BLACK PHILLIPS.jpeg,INDEPENDENT SKATEBOARD VITI CROSS BOLTS BLACK PHILLIPS,€7.00,1 1/2"
INDEPENDENT_PHILLIPS BLUE .jpeg,INDEPENDENT VITI DA SKATEBOARD CROSS BOLTS PHILLIPS BLUE,€9.99,1"
INDEPENDENT_RED.jpeg,INDEPENDENT SKATEBOARD VITI PHILLIPS HEAD CROSS RED,€4.99,7/8"
JART_SKATEBOARD.jpeg,JART VITI SKATEBOARD ALLEN HEAD,€9.90,1"
Magenta_Allen.jpeg,Magenta Allen Skateboards Bolts,€7.00,7/8"
MODUS_SKATEBOARD.jpeg,MODUS SKATEBOARD ALLEN HEAD BOLTS,€7.00,1"
PIG_NEON.jpeg,PIG VITI SKATEBOARD NEON SKEWERS,€5.99,1"
PRIMITIVE_SKATEBOARD.jpeg,PRIMITIVE SKATEBOARD VITI ALLEN GOLD,€7.00,7/8"
SHAKE_JUNT_TYSON.jpeg,SHAKE JUNT TYSON PETERSON PHILLIPS,€7.00,1"
THUNDER_SKATEBOARD.jpeg,THUNDER SKATEBOARD VITI ALLEN BOLTS,€4.99,7/8"
ZUPPLY_SKATEBOARDS.jpeg,ZUPPLY SKATEBOARDS VITI ALLEN HEAD,€4.99,7/8"
