foto,marca,prezzo,dimensione
ARBOR_VINTAGE.jpeg,ARBOR AMBER SHAKEDOWN WHEELS,€45.00,58MM 80A
BAKER_RED.jpeg,BAKER RED STRIPE WHEELS,€44.99,52MM 99A
BONES_V5.jpeg,BONES WHEELS V5 SIDECUT OG FORMULA,€39.00,55MM 100A
BONES_WHITE.jpeg,BONES WHEELS ROUGH RIDERS RUNNERS ATF,€55.00,59MM 80A
FLIP_DESTROYERS.jpeg,FLIP DESTROYERS WHEELS,€32.99,51MM 100A
HAZARD_WHITE.jpeg,HAZARD WHITE WHEELS CS FORMULA,€49.99,52MM 101A
PLEASURES_NIKO.jpeg,PLEASURES SKATEBOARDS WHEELS NIKO HIGH REBOUND,€39.00,53MM 99A
PLEASURES_SKULL.jpeg,PLEASURES SKATEBOARDS WHEELS SKULL HIGH REBOUND,€39.00,53MM 99A
Ripndip_Friends.jpeg,RIPNDIP LORD NERMAL WHEELS,€35.00,50MM 101A
Ripndip_Welcome.jpeg,Ripndip Welcome To Heck Wheels,€35.00,52MM 100A
SATORI_ELI.jpeg,SATORI WHEELS ELI REED CONICAL SHAPE,€45.00,52MM 101A
SPITFIRE_BIGHEAD.jpeg,SPITFIRE SKATE WHEELS BIGHEAD EDITION,€49.00,57MM 99A
SPITFIRE_CLASSIC.jpeg,SPITFIRE CLASSIC SKATE LIKE A GIRL F4,€59.99,55MM 99A
SPITFIRE_PURPLE_CAMO.jpeg,SPITFIRE PURPLE CAMO CLASSIC F4,€59.99,58MM 99A
SPITFIRE_RADIA.jpeg,SPITFIRE RUOTE RADIAL FULL F4,€59.99,56MM 99A
SPITFIRE_WHEELS.jpeg,SPITFIRE WHEELS F4 ISHOD BURNOUT II CLASSIC,€59.99,53MM 99A
