foto,marca,prezzo,dimensione
INDEPENDENT_169_FORGED_HOLLOW.jpeg,INDEPENDENT FORGED TITANIUM STAGE 11,€119.99,169
INDEPENDENT_STANDARD_X_TOY_MACHINE_STAGE_11_144.jpeg,INDEPENDENT STAGE 11 TOY MACHINE STANDARD,€79.00,144
Iron_Trucks_Semipolished_High.jpeg,Iron Trucks Semipolished High,€45.00,149
KRUX_K5.jpeg,KRUX TRUCKS NORA VASCONCELLOS K5 STANDARD,€59.99,8.25
TENSOR_ALLOYS_RAW_TRUCK.jpeg,TENSOR ALLOYS RAW TRUCK,€45.00,5.5"
THUNDER_GREEN_TRUCK_METALLIC_SCRIPT_HOLLOW_LIGHTS_149.jpeg,THUNDER GREEN TRUCK METALLIC SCRIPT HOLLOW LIGHTS,€89.00,149
THUNDER_HOLLOW_LIGHTS_147.jpeg,THUNDER HOLLOW LIGHTS POLISHED,€89.99,147
THUNDER_HOLLOW_LIGHTS_149_HIGH.jpeg,THUNDER HOLLOW LIGHTS HIGH TRUCK POLISHED,€89.99,149
THUNDER_ISHOD_BLOODSPORT_LIGHTS.jpeg,THUNDER ISHOD BLOODSPORT LIGHTS,€89.00,147
THUNDER_PRO_STAMPED_CODY_LOCKWOOD.jpeg,THUNDER PRO STAMPED CODY LOCKWOOD,€74.99,151
THUNDER_TRUCKS_BLUE_CHARGED_HOLLOW_LIGHTS_148.jpeg,THUNDER TRUCKS BLUE CHARGED HOLLOW LIGHTS,€89.99,148
VENTURE_'92_FULL_BLEED_TEAM_EDITION_5.6.jpeg,VENTURE '92 FULL BLEED TEAM EDITION,€69.00,5.6
VENTURE_PAUL_RODRIGUEZ_V_HOLLOW_TRUCKS_HI_5.6.jpeg,VENTURE PAUL RODRIGUEZ V HOLLOW TRUCKS HI,€89.00,5.6
VENTURE_TRUCKS_5.0.jpeg,VENTURE TRUCKS POLISHED HIGH,€62.99,5.0 
VENTURE_TRUCKS_ANODIZED_5.6_HI.jpeg,VENTURE TRUCKS ANODIZED HI,€69.99,5.6 
VENTURE_V_LIGHTS_TINO_RINCON_GUEST_ARTIST_5.8.jpeg,VENTURE V LIGHTS TINO RINCON GUEST ARTIST,€89.00,5.8
